Q,a95,Com,Formation,Lat,Lon,CLat,CLon,RLat,RLon,EULER,Age,GPDB RefNo/Reference,Block
5,4.8,,USGS SW North America composite,-86.3,5.7,,,,,,0.5,Mankinen (2008),North America (101)
5,9.1,,Michoacan Guanajuato volcanic field,-86.4,8.4,,,-86.4,9.2,(79.2/23/.2),0.8,Maciel Peña et al. (2009),North America (101)
5,7.1,,Tequila volcanic fields,-85.3,265.9,,,-85.3,-94.1,(79.9/22.7/.3),1,Ceja et al. (2006),North America (101)
5,8.7,,Meseta Lago Buenos Aires,-88.4,225.5,,,-88.4,-135.7,(79.9/22.7/.3),1,Brown et al. (2004),North America (101)
5,4.3,,Trans Mexican Volcanic Belt,-88.9,285,,,-88.9,-75.1,(79.9/22.7/.3),1,"Ruiz-Martínez et al., 2010",North America (101)
3,4.9,,Katherine Creek sediments,-77.9,303.7,-80,3.5,-80,4.2,(80.8/22.8/.4),1.5,"3060, T",North America (101)
3,7,,Banks Island deposits,-85.7,122.7,-81.2,73.9,-81.1,74.5,(80.8/22.8/.4),1.5,"3206, T",North America (101)
5,5.7,,USGS SW North America composite,-84.5,241,,,-84.5,-119.1,(80.8/22.8/.4),1.5,Mankinen (2008),North America (101)
5,6.2,,Trans-Mexican Volcanic Belt,-89.5,214.8,,,-89.5,-157.9,(80.8/22.9/.8),3,Mejia et al. (2005),North America (101)
5,4.1,,Trans Mexican Volcanic Belt,-84.6,332.3,,,-84.8,-25.6,(80.9/22.8/1),4,Ruiz-Martínez et al. (2010),North America (101)
5,6.7,,Eastern Alkaline Province,-87.9,275.9,,,-88,-84.4,(80.9/22.8/1),4,Goguitchaichvili et al. (2007),North America (101)
5,5,,Snake River Plain,-85.5,197.4,,,-85.5,-163.9,(80.9/22.8/1.3),5,Tauxe et al. (2004),North America (101)
5,5,,USGS SW North America composite,-85.3,262.1,,,-85.5,-97.9,(80.9/22.8/1.8),7,Mankinen (2008),North America (101)
5,6.9,,Trans Mexican Volcanic Belt,-85.9,357.7,,,-86,3.9,(80.9/22.8/2),8,Ruiz-Martínez et al. (2010),North America (101)
5,7.8,,USGS SW North America composite,-82.9,309.1,,,-83.3,-47.3,(80.9/22.9/2.6),10,Mankinen (2008),North America (101)
3,12.9,,Hepburn's Mesa Formation,-81.1,225.3,-83.1,93.2,-82.4,98.8,(80.9/23.2/4.2),15.5,"2288, T",North America (101)
5,3.7,,Stoddard Mountain laccolith,-82.9,346.2,,,-83.5,-1.3,(80.3/25.4/5.8),21,Petronis et al. (2004),North America (101)
5,9.8,,Dinan Bay lavas,-82.7,301.7,,,-83.7,-51,(80.2/26/6),21.7,Irving et al. (2000),North America (101)
4,6.7,,Younger plutons,-87.1,189.5,,,-86.7,177.4,(80/26.6/6.2),22.5,"1402, T",North America (101)
3,8.4,,Lake City Caldera,-76.4,30.3,,,-76.2,41,(79.9/26.9/6.3),23,"1300, T",North America (101)
4,5.2,,Latir volcanics,-80.9,331.2,,,-81.8,-17.8,(79.8/27.3/6.4),23.5,"1299, T",North America (101)
4,6.8,,Conejos and Hinsdale Formation,-79.7,342.8,,,-80.5,-4.3,(79.3/27.5/7.1),26,"3130, T",North America (101)
4,5.4,,"Latir extrusives, sediments",-80.2,315.4,,,-81.4,-32.9,(78.8/22.7/7.5),27,"1299, T",North America (101)
3,5,,Mongollon–Datil volcanics,-82.8,316.2,,,-84.2,-24,(77.4/12.5/8.6),30,"2631, T",North America (101)
4,4.4,,Mongollon–Datil volcanics,-81.9,323.6,,,-83.1,-16.9,(77.4/12.5/8.6),30,"1315, T",North America (101)
6,6.2,,Tuzantlán–Copalillo basin,-80.6,22.1,,,-79.5,43.5,(76/6.1/9.7),33,Molina-Garza and Ortega-Rivera (2006),North America (101)
4,4.3,,Mariscal Mountain Gabbro,-79.8,5.9,,,-78.9,31.9,(74.9/1.4/11.4),37,"2943, T",North America (101)
5,7,,Ramsay Island lavas,-78.2,297.5,,,-80.7,-40.3,(74.5/.1/12),38.5,Irving et al. (2000),North America (101)
3,2.4,,Mistastin Lake Impact,-85.2,296.6,,,-87.2,-9.1,(74.5/− 1.1/12.6),40,"562, T",North America (101)
6,3,,Beaver River alkalic complex,-79.2,326.4,,,-80.1,-1.7,(74.4/− 2.5/13.4),42,Symons et al. (2003),North America (101)
5,7.7,,East Fork Washakia Basin,-83.7,323.7,-76.7,50.4,-73.2,70.3,(74.3/− 3.7/14.2),44,"1632, T",North America (101)
5,8,,Absaroka flows,-82.7,333.6,,,-82.6,19.8,(74.2/− 4.9/15),46,"1117, T",North America (101)
4,9.6,,Rattlesnake Hills volcanics,-79.3,324.3,,,-80.2,0.8,(74.2/− 4.9/15),46,"1712, T",North America (101)
4,10.1,,Monterey intrusives,-85.2,62,,,-81.2,84,(74.5/− 4.8/15.3),47,"1865, T",North America (101)
6,5.6,,Bitterroot Dome dike swarm,-72,343.4,,,-71.9,10.7,(74.5/− 4.8/15.3),47,"2560, T",North America (101)
5,4,,Robinson Anticline intrusives,-77.1,325.8,,,-78.1,-0.9,(75.9/− 3.5/16.2),50,"1348, T",North America (101)
6,6.2,,Absorako volcanics,-83.1,326.3,,,-83.5,15.9,(75.9/− 3.5/16.2),50,Harlan and Morgan (2010),North America (101)
6,4.9,,Wasatch and Green River Formation,-77.6,309.1,-78.3,22.7,-75.8,51.7,(76.5/− 2.8/16.5),51,"3150, T",North America (101)
6,2.6,,Combined Eocene intrusives,-82.7,347.2,,,-81.8,31.2,(76.5/− 2.8/16.5),51,"1270, T",North America (101)
6,4.4,,Bighorn Basin,-81.4,347.7,-73.9,48.8,-71.3,71.7,(79.8/4.1/17.6),55,Clyde et al. (2007),North America (101)
5,14,,Rhyolite intrusion and contact,-68.1,9.4,,,-67.3,34.2,(80.9/6.2/18.2),57,"504, T",North America (101)
6,3,,Nacimiento formation,-75.9,326.4,-74.9,24.7,-73.4,52,(81.8/4.8/19.4),61,"1033, T",North America (101)
4,1.1,,Gringo Gulch volcanics,-77.1,21.3,,,-75.6,50.6,(82.2/4/20),63,"1710, T",North America (101)
4,6.6,,"Edmonton Group, Alberta",-72,5.3,-68,38.1,-66.1,62.3,(82.2/4/20),63,"1914, T",North America (101)
6,3.7,,Combined Palaeocene intrusions,-81.9,350.6,,,-81.7,29.2,(82.2/4/20),63,"1270, T",North America (101)
5,3.9,,Alkalic intrusives,-80.5,359.4,,,-79.9,34.6,(82.4/3.6/20.4),64,"1711, T",North America (101)
5,5.8,#,Tombstone volcanics and intrusions,-71.8,28.3,,,-69.2,56.8,(81.4/− 8.2/22.7),71,"2806, T",North America (101)
5,6.2,#,Roskruge volcanics,-69.8,354.9,,,-68.6,26.4,(81.3/− 9.2/23.1),72,"1240, T",North America (101)
6,4.6,,Adel Mountain volcanics,-83.7,15.4,,,-80.7,58.1,(80.7/− 12.3/24.3),74.5,"2370, T",North America (101)
6,9,,Doherty Mountain sills,-80.8,358.1,,,-78,43.4,(79.5/− 15.9/25.7),77,Harlan et al. (2008),North America (101)
5,9.6,,Niobrara Formation,-59.8,17.7,-57.8,41.8,-52.8,70.3,(78.7/− 18.1/26.9),79,Shive and Frerichs (1974),North America (101)
6,6.2,,Maudlow Formation welded tuffs,-70.5,27.6,,,-65.5,60.8,(78.2/− 18.8/27.5),80,"2397, T",North America (101)
7,6.6,,Elkhorn Mountains,-81.8,7.8,,,-77.2,55.4,(77.8/− 19.4/28.1),81,"2382, T",North America (101)
5,4.4,,Magnet Cove and other intrusions,-73.6,11.1,,,-61.2,65.2,(69.4/− 23.5/40.5),100,"1322, T",North America (101)
5,8.3,,Cuttingsville,-72.4,20.7,,,-59.3,70,(69.4/− 23.5/40.5),100,"3087, T",North America (101)
5,4,,Randall Mountain,-76.4,319.4,,,-69.4,45.2,(68.8/− 23.1/42.6),103,"3087, T",North America (101)
5,4.4,,Little Rattlesnake Complex,-71.5,2.4,,,-56,67.6,(67.3/− 22/48.2),111,"3087, T",North America (101)
5,6.5,,Pleasant Mountain,-77.4,5.9,,,-60.7,74.5,(67.2/− 21.8/48.9),112,"3087, T",North America (101)
5,5.6,,Burnt Meadow Mountains,-75.7,29.1,,,-57.1,84.1,(67/− 21.7/49.6),113,"3087, T",North America (101)
5,3.6,,Alfred Complex,-74.2,30.3,,,-53.1,88.2,(66/− 20.6/54.2),120,"3036, T",North America (101)
5,5.3,,Cape Neddick,-74.8,354.8,,,-56.5,73.9,(65.8/− 20.2/54.8),121,"3036, T",North America (101)
5,4.6,,Tatnic Complex,-65.9,27.8,,,-44.4,86.2,(65.7/− 19.8/55.3),122,"3036, T",North America (101)
6,2.4,,Monteregian Hills intrusives,-72,11.2,,,-51.7,79.7,(65.7/− 19.8/55.3),122,"1853, T",North America (101)
5,3.3,,White Mountains igneous complex,-71.3,7.5,,,-51.5,77.6,(65.7/− 19.8/55.3),122,"2644, T",North America (101)
5,7.5,,Lebanon diorite,-71,16.9,,,-49.4,83.7,(65.4/− 18.9/56.8),125,"3036, T",North America (101)
5,3.6,,Notre Dame Bay dikes,-67.2,30.8,,,-43.6,91.6,(64.9/− 17.7/58.7),129,"1854, T",North America (101)
7,2.6,,Kimberlite dikes,-58,23.1,,,-33.4,89.2,(64.9/− 16.7/63.2),144,"2717, T",North America (101)
6,4.1,#,"Morrison Formation, Brushy Basin Member",-64.2,338.8,-65.5,12.5,-41.3,86.4,(64.8/− 16.8/64.4),148,"2870, T",North America (101)
5,3.6,#,Upper Morrison Formation,-63.4,344.8,-64,17.5,-39.3,89.3,(65.1/− 16.1/64.9),150,"787, T",North America (101)
6,7,#,Canelo Hills volcanics,-58.7,315.1,,,-49.8,50.8,(65.3/− 15.7/65.2),151,"1256, T",North America (101)
5,5.3,#,Lower Morrison Formation,-57.4,327.5,-62.5,351,-42.6,76.4,(65.8/− 14.2/66.8),156,"787, T",North America (101)
6,6,#,"Summerville Formation, Trujillo",-56.8,328.1,-58.1,350.6,-37.8,76.3,(65.8/− 13.5/69.6),163,Steiner (2003),North America (101)
6,7.4,#,Summerville Formation,-52.6,318.2,-58.6,334.6,-42,69.4,(65.9/− 13/71.5),168,"2419, T",North America (101)
5,4.3,#,Summerville sandstone,-64,299,-71.4,321.9,-54.9,77,(65.9/− 13/71.5),168,"1121, T",North America (101)
4,7.4,,Moat volcanics,-78.7,270.3,,,-68.5,87.8,(65.9/− 12.9/71.9),169,Van Fossen and Kent (1990),North America (101)
5,7.8,#,Corral Canyon rocks,-58,303.8,,,-51.9,53,(65.6/− 12.9/72.9),172,"1294, T",North America (101)
4,1.4,,Newark volcanics II,-63.2,283.2,,,-61.7,54.7,(64.8/− 13.4/75),180,"1702, T",North America (101)
3,1,,Anticosti dikes,-75.7,264.7,,,-67.6,85,(64.4/− 13.6/75.7),183,Larochelle (1971),North America (101)
6,3.3,#,Kayenta Formation,-58.8,256.4,-62,257.2,-72,47.8,(64.1/− 13.8/76.5),186,"2380, T",North America (101)
5,7,#,Kayenta Formation,-61.3,264.8,-67.8,268.3,-67.4,64.9,(64.1/− 13.8/76.5),186,Steiner and Helsley (1974),North America (101)
4,9.8,#,Kayenta Formation,-58.7,277.8,-64.4,283,-61,59.4,(64.1/− 13.8/76.5),186,Johnson and Nairn (1972),North America (101)
3,7.2,#,Sil Nakya Formation,-73.1,275.4,,,-64.1,78.6,(63.8/− 14/77.3),189,"T, Kluger-Cohen et al. (1986)",North America (101)
5,3.1,,Combined dikes,-72.8,268.1,,,-66.1,79.2,(63.7/− 14/77.6),190,"1932, T",North America (101)
5,8.9,,Piedmont dikes,-66,266,,,-66.7,63.8,(63.3/− 14.2/78.6),194,"1796, T",North America (101)
4,2.3,,Newark volcanics I,-63,263.1,,,-67.6,56.7,(63.2/− 14.2/79),197,"1702, T",North America (101)
4,11.1,,Connecticut Valley volcanics,-65.5,267.5,,,-65.9,63.2,(63.2/− 14.2/79),197,"477, T",North America (101)
6,2.8,"#,I",Moenave Formation,-62.5,251,,,-73.2,55.4,(63.2/− 14.2/79),197,Donohoo-Hurley et al. (2010),North America (101)
5,4,,Hartford Newark basalts and volcanics,-68,268.5,,,-65.4,69.2,(63.2/− 14.2/79),197,"2278, T",North America (101)
5,6.2,,Watchung basalts,-63.6,268.7,,,-65.2,58.6,(63.2/− 14.2/79),197,"1339, T",North America (101)
5,6,,Hettangian Newark red beds,-55.6,274.6,-59.8,273.3,-62.2,51.5,(63.2/− 14.2/79.1),198,"2312, T",North America (101)
5,7.9,,Piedmont dikes,-61.5,234,,,-81,61.6,(63.2/− 14.2/79.2),199,"1809, T",North America (101)
6,10.7,,North Mountain basalt,-66.4,252,,,-71.9,68.2,(63.2/− 14.1/79.2),200,"1932, T",North America (101)
7,3.2,I,Hartford basin,-66.6,268.2,,,-65.5,66.3,(63.2/− 14.1/79.3),201,Kent and Olsen (2008),North America (101)
6,5,I,Newark Martinsville core,-67.8,275.8,,,-62.5,69.5,(63.2/− 14/79.5),204,Kent and Tauxe (2005),North America (101)
5,8,,"Chinle Group, Redonda Formation",-58.5,256.9,-61.2,257.1,-70.3,51.8,(63.2/− 14/79.5),204,"2979, T",North America (101)
6,10.7,#,Chinle Formation,-58.7,250.9,-62.8,251.2,-73,57.3,(63.2/− 14/79.5),204,"2800, T",North America (101)
6,4.2,,"Chinle Formation, Redonda Member",-57.8,259.3,-59.6,259.5,-68.9,47.8,(63.2/− 14/79.5),204,"152, T",North America (101)
6,6.5,I,Newark Martinsville core,-64.9,276.6,,,-61.9,63.3,(63.2/− 14/79.5),204,Tan et al. (2007),North America (101)
6,2.5,I,Newark Weston core,-58.1,271.8,,,-62.3,48.4,(63.2/− 13.9/79.7),207,Tan et al. (2007),North America (101)
6,5,I,Newark Westonville,-66.9,267.2,,,-65.8,67.6,(63.2/− 13.9/79.7),207,Kent and Tauxe (2005),North America (101)
6,4.7,,"Passaic Formation, baked sediments",-65.5,255.1,,,-70.7,65.7,(63.2/− 13.9/79.9),211,"2791, T",North America (101)
7,5.6,,"Passaic Formation, C component",-55.6,274.6,-59.9,273.3,-62.1,52.8,(63.2/− 13.9/79.9),211,"2312, T",North America (101)
6,3.4,#,Chinle Formation,-56.6,255.9,-58.6,256.2,-70.3,45,(63.2/− 13.9/79.9),211,"2380, T",North America (101)
6,4,I,Newark Somerset core,-61.7,274.7,,,-61.9,57,(63.2/− 13.9/79.9),211,Kent and Tauxe (2005),North America (101)
5,3,,Newark Basin both polarities,-57.6,269.6,-63.3,266.9,-65.7,59,(63.2/− 13.9/79.9),211,"1339, T",North America (101)
4,5.2,,Taylor Mountain batholith,-61.4,282.2,,,-58.4,58.5,(63.2/− 13.9/79.9),212,Symons et al. (2009),North America (101)
6,3.1,I,Newark Rutgers core,-60.1,277.1,,,-60.3,54.5,(63.2/− 13.9/79.9),214,Kent and Tauxe (2005),North America (101)
4,7,,"Manicouagan Stucture, Quebec",-60.1,271.8,,,-62.9,52.7,(63.2/− 13.9/79.9),215,"434, T",North America (101)
3,10,,"Manicouagan Stucture, Quebec",-59,267.6,,,-64.6,49,(63.2/− 13.9/79.9),215,"443, T",North America (101)
3,14,,"Popo Agie Formation, Chugwater",-56.1,276,-62.4,280.5,-59.5,59.9,(63.2/− 13.9/79.9),215,"1134, T",North America (101)
7,7.8,,Ankareh Formation,-50.5,267.6,-53.4,268.7,-62.1,37.9,(63.2/− 13.9/79.9),215,Weil et al. (2010),North America (101)
6,5.6,,"Chinle Formation, Bull Canyon Member",-57.4,267.7,-59.3,268.4,-64.3,50,(63.2/− 13.9/79.9),216,"2380, T",North America (101)
6,3.2,I,Newark Titusville core,-59.9,279.4,,,-59.2,54.9,(63.2/− 13.9/79.9),217,Kent and Tauxe (2005),North America (101)
6,5.1,#,"Chinle, Sangre de Cristo",-52.9,282,-53.5,282.5,-54.9,45.6,(63.2/− 13.9/79.9),218,"2979, T",North America (101)
6,7.7,,"Dockum Group, Trujillo and Tecovas Formations",-56.4,276.8,-58,277.6,-59.4,50.7,(63.2/− 13.9/79.9),218,"2944, T",North America (101)
7,5,#,"Shinarump Member, Chinle Formation",-59.6,277.5,-63.5,280.6,-59.7,61.9,(63.2/− 13.9/79.9),220,"2489, T",North America (101)
6,5,,"Newark Basin, Lower redbeds",-53.4,281.7,-55.9,281.5,-56.6,48.9,(63.2/− 13.9/79.9),220,"2331, T",North America (101)
6,2,I,Dan River–Danville Basin,-58.5,279.5,,,-58.6,52.4,(63.2/− 13.9/79.9),221,Kent and Tauxe (2005),North America (101)
5,5,I,Newark Nursery core,-60.5,281.6,,,-58.4,56.7,(63.2/− 13.9/79.9),221,Kent and Tauxe (2005),North America (101)
4,3.9,,Abbott Pluton,-48.3,272.3,,,-57.6,31.5,(63.2/− 13.9/79.9),221,"1831, T",North America (101)
6,5,,Upper Red Peak Formation,-49.1,285.1,-52.7,287.8,-51.7,47.3,(63.2/− 13.9/79.9),225,"1134, T",North America (101)
6,4,I,Newark Princeton core,-54.1,285.2,,,-53.8,47.9,(63.2/− 13.9/79.9),227,Kent and Tauxe (2005),North America (101)
6,3.2,,Agamenticus Pluton,-48.4,278.5,,,-54.2,35.8,(63.2/− 13.9/79.9),228,"1831, T",North America (101)
5,2.5,#,Upper Moenkopi drillcore,-54.1,288.3,-58.6,293.1,-52.3,58,(63.2/− 13.9/79.9),230,"160, T",North America (101)
6,4,,Chugwater Formation,-45.2,295.4,-49.1,299,-44,49.4,(63.2/− 13.9/79.9),230,"1266, T",North America (101)
5,3.1,#,Upper Moenkopi Formation,-52.5,290.7,-56.6,295,-50.4,56.1,(63.2/− 13.9/79.9),230,"159, T",North America (101)
6,4.5,#,Moenkopi Formation (upper),-56.5,283.2,-59.8,286.6,-55.8,57.3,(63.2/− 13.9/79.9),230,"2808, T",North America (101)
6,3.3,,Chugwater Formation,-46.1,293.6,-49.8,296.9,-45.5,48.9,(63.2/− 13.9/79.9),230,"1271, T",North America (101)
7,3.4,#,Moenkopi Formation,-55.5,287.9,-58.2,290.7,-53.2,56.5,(63.2/− 13.9/79.9),234,"2489, T",North America (101)
7,5,#,Moenkopi Formation (Gray Mountain),-54.6,284.5,-57.8,287.8,-54.4,54.5,(63.2/− 13.9/79.9),234,"1221, T",North America (101)
6,4.9,#,"Moenkopi Formation, Anton Chico Member",-44.7,301.4,-44.9,301.7,-39.8,46.9,(63.2/− 13.9/79.9),234,"2979, T",North America (101)
5,4.9,#,Moenkopi Formation,-55.6,285.8,-60.5,290.9,-54.2,59.9,(63.2/− 13.9/79.9),234,"2489, T",North America (101)
4,5.3,#,Moenkopi Formation,-41.1,305.6,-40.8,305.2,-35,45.7,(63.2/− 13.9/79.9),234,"2632, T",North America (101)
5,7,,Lower Red Peak Formation,-46.1,301,-50.6,306.1,-41.5,55.1,(63.2/− 13.9/79.9),235,"1134, T",North America (101)
6,7.2,,Lower Fundy Group,-44.3,271.6,-45.5,271.1,-56.6,26.5,(63.2/− 13.9/79.9),246,Symons et al. (1989),North America (101)
6,5,,Dewey Lake Formation,-51,306.5,-53.8,310.3,-41.8,60.5,(63.2/− 13.9/79.9),250,"2303, T",North America (101)
4,8,#,Bernal Formation,-49.9,298.1,-51.6,300,-45.1,52.6,(63.2/− 13.9/79.9),255,"2489, T",North America (101)
4,15,,Ochoan red beds,-54.8,299.3,-57.3,302.2,-47.6,60.4,(63.2/− 13.9/79.9),258,"688, T",North America (101)
5,5,,Guadalupian red beds,-51.5,306.7,-54.8,311.6,-41.9,62.2,(63.2/− 13.9/79.9),263,"688, T",North America (101)
5,3.8,,Intrusions Southern Illinois,-56.3,302.9,,,-46.6,59.5,(63.2/− 13.9/79.9),270,"Domeier et al., 2011a",North America (101)
4,3.8,,Downey Bluff sill,-53,308.7,,,-42,58.9,(63.2/− 13.9/79.9),272,Reynolds et al. (1997),North America (101)
4,8.6,,Hicks Dome breccia,-54.8,292.1,,,-50.8,52.3,(63.2/− 13.9/79.9),272,Reynolds et al. (1997),North America (101)
3,10,#,Toroweap Formation,-51.9,303,-56.5,311,-43.2,63.6,(63.2/− 13.9/79.9),277,"688, T",North America (101)
3,5,,Leonardian subset,-51.7,302.1,-53.7,304,-44.5,57.1,(63.2/− 13.9/79.9),277,"688, T",North America (101)
7,3.6,,Artinskian Pictou red beds,-42.1,306.5,-41.4,306.4,-34.9,46.9,(63.2/− 13.9/79.9),280,"2281, T",North America (101)
5,16.3,,Churchland pluton,-33.5,306.3,,,-29,40.8,(63.2/− 13.9/79.9),282,"1264, T",North America (101)
4,13.1,#,Fountain and Lykins Formations,-44.6,305.3,-47.8,308.8,-38.3,54,(63.2/− 13.9/79.9),283,504,North America (101)
5,2.1,#,Abo Formation,-46.8,304,-48.3,305.9,-40.1,52.7,(63.2/− 13.9/79.9),285,"1311, T",North America (101)
3,10.2,,Piedmont Mafic intrusions,-38.9,300.8,,,-35.9,41,(63.2/− 13.9/79.9),289,1527,North America (101)
5,1.5,,Upper Casper Formation,-50.5,303,-56.2,310.3,-43.4,63,(63.2/− 13.9/79.9),291,"1455, T",North America (101)
4,5,#,Elephant Canyon Formation,-37.5,296.6,-35.8,295.2,-36.7,34.4,(63.2/− 13.9/79.9),292,"671, T",North America (101)
5,7.1,#,"Cutler Formation, Lisbon Valley",-40.1,307.7,-42.1,310.1,-33.5,50,(63.2/− 13.9/79.9),292,"1341, T",North America (101)
5,2,#,Ingelside Formation,-43.1,307.9,-46.5,311.7,-36,54.6,(63.2/− 13.9/79.9),292,"1142, T",North America (101)
4,2,#,Cutler Formation,-41.6,300.4,-42.6,301.5,-38.3,44.7,(63.2/− 13.9/79.9),292,"671, T",North America (101)
4,2.8,#,Minturn and Maroon Formations,-40.1,300.5,-40.3,300.8,-37,42.2,(63.2/− 13.9/79.9),298,"1685, T",North America (101)
4,12.8,#,Upper Maroon Formation,-55.3,279.8,-60.6,285.1,-56.8,58,(63.2/− 13.9/79.9),299,"504, T",North America (101)
5,3.9,,Dunkard Formation,-44.1,301.5,-41.5,300.4,-38,43,(63.2/− 13.9/79.9),300,"302, T",North America (101)
5,2.1,,Laborcita Formation,-42.1,312.1,-43,313.4,-32.7,52.9,(63.2/− 13.9/79.9),301,"1311, T",North America (101)
